name	fridge_duration	freezer_duration	comments	category
Unbaked rolls and bread	4.days	1.month	Longer storage inactivates yeast and weakens gluten.	Breads, pastries and cakes
Partially baked cinnamon rolls	2.weeks	2.months		Breads, pastries and cakes
Baked quick breads	See comments	2.months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Baked muffins	See comments	12.months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Baked breads (no preservatives)	3.weeks	3.months	Store in refrigerator to inhibit mold growth.	Breads, pastries and cakes
Waffles	2.days	1.month		Breads, pastries and cakes
Unbaked fruit pies	2.days	4.months		Breads, pastries and cakes
Baked fruit pies	3.days	8.months		Breads, pastries and cakes
Pumpkin or chiffon pies	3.days	2.months		Breads, pastries and cakes
Baked cookies	3.weeks	12.months		Breads, pastries and cakes
Cookie dough	4.days	3.months		Breads, pastries and cakes
Frosted baked cakes	See comments	1.month	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Unfrosted baked cakes	See comments	4.months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Angel cakes	See comments	12.months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Flour: white or whole wheat	8.months	12.months		Breads, pastries and cakes
Butter	3.months	12.months	Freeze in original carton and overwrap with plastic freezer bag.	Dairy products
Buttermilk	2.weeks	Not recommended	Check date on carton. Will keep several days after date.	Dairy products
Cottage cheese	7.days	1.month	Freezing changes texture of soft cheeses.	Dairy products
Ricotta cheese	7.days	1.month	Freezing changes texture of soft cheeses.	Dairy products
Cream cheese	2.weeks	1.month	Becomes crumbly when frozen; can be used in cooking when creaminess is not important.	Dairy products
Natural aged cheese	3.months	8.months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Cheddar cheese	3.months	8.months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Swiss cheese	3.months	8.months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Gouda cheese	3.months	8.months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Mozzarella cheese	3.months	8.months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Cheese slices or opened packages	3.weeks	8.months		Dairy products
Parmesan	12.months	8.months		Dairy products
Romano, grated	12.months	8.months		Dairy products
Pasteurized processed cheese	4.weeks	8.months		Dairy products
Coffee whitener (liquid)	3.weeks	See package		Dairy products
Cream, light	1.week	4.weeks		Dairy products
