name	fridge_duration	freezer_duration	comments	category
Unbaked rolls and bread	3-4 days	1 month	Longer storage inactivates yeast and weakens gluten.	Breads, pastries and cakes
Partially baked cinnamon rolls	1-2 weeks	2 months		Breads, pastries and cakes
Baked quick breads	See comments	2 months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Baked muffins	See comments	6-12 months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Baked breads (no preservatives)	2-3 weeks	2-3 months	Store in refrigerator to inhibit mold growth.	Breads, pastries and cakes
Waffles	1-2 days	1 month		Breads, pastries and cakes
Unbaked fruit pies	1-2 days	2-4 months		Breads, pastries and cakes
Baked fruit pies	2-3 days	6-8 months		Breads, pastries and cakes
Pumpkin or chiffon pies	2-3 days	1-2 months		Breads, pastries and cakes
Baked cookies	2-3 weeks	6-12 months		Breads, pastries and cakes
Cookie dough	3-4 days	3 months		Breads, pastries and cakes
Frosted baked cakes	See comments	1 month	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Unfrosted baked cakes	See comments	2-4 months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Angel cakes	See comments	6-12 months	Not necessary to refrigerate unless product cannot be used within 4-5 days or time recommended on package.	Breads, pastries and cakes
Flour: white or whole wheat	6-8 months	12 months		Breads, pastries and cakes
Butter	2-3 months	12 months	Freeze in original carton and overwrap with plastic freezer bag.	Dairy products
Buttermilk	1-2 weeks	Not recommended	Check date on carton. Will keep several days after date.	Dairy products
Cottage cheese	5-7 days	1 month	Freezing changes texture of soft cheeses.	Dairy products
Ricotta cheese	5-7 days	1 month	Freezing changes texture of soft cheeses.	Dairy products
Cream cheese	2 weeks	1 month	Becomes crumbly when frozen; can be used in cooking when creaminess is not important.	Dairy products
Natural aged cheese	2-3 months	6-8 months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Cheddar cheese	2-3 months	6-8 months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Swiss cheese	2-3 months	6-8 months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Gouda cheese	2-3 months	6-8 months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Mozzarella cheese	2-3 months	6-8 months	Natural and processed cheeses can be frozen. Defrost in refrigerator--cheese will be less likely to crumble. Use soon after thawing.	Dairy products
Cheese slices or opened packages	2-3 weeks	6-8 months		Dairy products
Parmesan	12 months	6-8 months		Dairy products
Romano, grated	12 months	6-8 months		Dairy products
Pasteurized processed cheese	3-4 weeks	6-8 months		Dairy products
Coffee whitener (liquid)	3 weeks	See package		Dairy products
Cream, light	1 week	3-4 weeks		Dairy products
Half and half	1 week	3-4 weeks		Dairy products
Cheese - UHT processed-unopened	4 weeks	3-4 weeks		Dairy products
Cheese - UHT processed-opened	1 week	3-4 weeks		Dairy products
Cream - heavy or whipping	1 week	Not recommended	Whipping cream will not whip after thawing. Whipped cream may be frozen and stored for 1-2 weeks.	Dairy products
Dip, sour cream or commercial	2 weeks	Not recommended		Dairy products
Dip, homemade	3-4 days	Not recommended		Dairy products
Margarine	3 months	12 months	Leave in original foil and carton overwrap in plastic bag for freezer storage.	Dairy products
Milk, evaporated (opened)	3-5 days	1-3 months	Freezing affects flavor and/or appearance; use for cooking.	Dairy products
Milk, fluid whole or low-fat	1 week	1-3 months	Same as for evaporated.	Dairy products
Milk, reconstituted nonfat dry	1 week	1-3 months		Dairy products
Milk, sweetened or condensed (opened)	3-5 days	1-3 months		Dairy products
Sour cream	2-3 weeks	Not recommended	Sour cream will separate if frozen.	Dairy products
Whipped topping in aerosol can	3 weeks	Not recommended		Dairy products
Whipped topping prepared from mix	3 days	Not recommended		Dairy products
